candidate_id,rank,score,reasoning
CAND_0042506,15,0.7004,"4-year Search Engineer at Verloop.io; adjacent profile with partial skill overlap. Has peft, scikit-learn exposure. Signals: open to work; 15-day notice."
CAND_0064326,16,0.7001,"8-year Search Engineer at Sarvam AI; adjacent profile with partial skill overlap. Has scikit-learn, pytorch exposure. Signals: open to work; high recruiter response rate (94%)."
CAND_0046525,17,0.6924,"6-year Senior Machine Learning Engineer at Genpact AI; adjacent profile with partial skill overlap. Has elasticsearch, retrieval exposure. Signals: open to work; high recruiter response rate (88%)."
CAND_0045250,18,0.6914,"7-year Applied ML Engineer at Rephrase.ai; adjacent profile with partial skill overlap. Has transformer, milvus exposure. Signals: 15-day notice; high recruiter response rate (74%)."
CAND_0077337,19,0.6894,"7-year Staff Machine Learning Engineer at Paytm; adjacent profile with partial skill overlap. Has semantic search, lora exposure. Signals: open to work; high recruiter response rate (95%)."
CAND_0006418,20,0.6806,"6-year Machine Learning Engineer at Verloop.io; adjacent profile with partial skill overlap. Has semantic search, embeddings exposure. Signals: open to work; high recruiter response rate (92%)."
CAND_0088025,21,0.6795,"9-year Staff Machine Learning Engineer at Yellow.ai; adjacent profile with partial skill overlap. Has pinecone, lora exposure. Signals: open to work; high recruiter response rate (83%)."
CAND_0069905,22,0.6775,"7-year Applied ML Engineer at Sarvam AI; adjacent profile with partial skill overlap. Has lora, recommendation exposure. Signals: open to work; high recruiter response rate (78%)."
CAND_0037566,23,0.6732,"7-year Machine Learning Engineer at LinkedIn; adjacent profile with partial skill overlap. Has pinecone, nlp exposure. Signals: open to work; 15-day notice."
CAND_0071974,24,0.6717,"8-year Senior AI Engineer at Netflix; adjacent profile with partial skill overlap. Has lora, learning to rank exposure. Signals: open to work; high recruiter response rate (76%)."
CAND_0052328,25,0.6703,"6-year Recommendation Systems Engineer at Amazon; adjacent profile with primarily services/consulting background. Has lora, opensearch exposure. Signals: open to work; 30-day notice; high recruiter response rate (79%)."
CAND_0091909,26,0.6687,"7-year Machine Learning Engineer at Rephrase.ai; adjacent profile with partial skill overlap. Has llm, pinecone exposure. Signals: open to work."
CAND_0052682,27,0.6652,"7-year NLP Engineer at Aganitha; adjacent profile with partial skill overlap. Has lora, semantic search exposure. Signals: open to work; 30-day notice; high recruiter response rate (88%)."
CAND_0080766,28,0.6637,"9-year Staff Machine Learning Engineer at Salesforce; adjacent profile with partial skill overlap. Has search, lora exposure. Signals: 0-day notice."
CAND_0029367,29,0.6628,"6-year Senior Data Scientist at Rephrase.ai; adjacent profile with partial skill overlap. Has tensorflow, lora exposure. Signals: open to work; high recruiter response rate (77%)."
CAND_0075574,30,0.6616,"6-year Machine Learning Engineer at Haptik; adjacent profile with partial skill overlap. Has transformer, weaviate exposure. Signals: open to work."
CAND_0051292,31,0.6609,"5-year Applied ML Engineer at Freshworks; adjacent profile with partial skill overlap. Has faiss, llm exposure. Signals: open to work; 30-day notice."
CAND_0055905,32,0.6602,"8-year Senior Machine Learning Engineer at Flipkart; adjacent profile with based outside preferred India locations (London). Has elasticsearch, transformer exposure. Signals: open to work; 30-day notice; high recruiter response rate (87%)."
CAND_0094759,33,0.6593,"9-year Lead AI Engineer at Meta; adjacent profile with partial skill overlap. Has scikit-learn, transformer exposure. Signals: 30-day notice; low response rate (11%) a concern."
CAND_0044855,34,0.6588,"7-year Senior Data Scientist at Flipkart; adjacent profile with partial skill overlap. Has learning to rank, transformer exposure. Based in Coimbatore, Tamil Nadu; recruiter response rate 57%."
CAND_0070398,35,0.6584,"7-year Machine Learning Engineer at Genpact AI; adjacent profile with partial skill overlap. Has bm25, rag exposure. Signals: open to work; long notice (120d)."
CAND_0033861,36,0.6546,"8-year Senior NLP Engineer at Mad Street Den; adjacent profile with partial skill overlap. Has weaviate, lora exposure. Signals: 30-day notice; low response rate (16%) a concern."
CAND_0020877,37,0.6526,"5-year Applied ML Engineer at CRED; adjacent profile with partial skill overlap. Has lora, elasticsearch exposure. Based in Gurgaon, Haryana; recruiter response rate 66%."
CAND_0081053,38,0.6491,"5-year NLP Engineer at Glance; adjacent profile with partial skill overlap. Has lora, qdrant exposure. Signals: open to work; high recruiter response rate (83%)."
CAND_0042029,39,0.6473,"6-year Senior Data Scientist at Flipkart; adjacent profile with partial skill overlap. Has pytorch, nlp exposure. Based in Delhi, Delhi; recruiter response rate 67%."
CAND_0008425,40,0.6446,"8-year Senior NLP Engineer at Ola; adjacent profile with partial skill overlap. Has learning to rank, qdrant exposure. Signals: open to work."
CAND_0092278,41,0.6419,"7-year Senior NLP Engineer at Microsoft; adjacent profile with partial skill overlap. Has tensorflow, transformer exposure. Signals: low response rate (7%) a concern."
CAND_0027801,42,0.6400,"7-year NLP Engineer at InMobi; adjacent profile with partial skill overlap. Has faiss, milvus exposure. Signals: open to work; long notice (120d)."
CAND_0099806,43,0.6399,"5-year AI Engineer at Mad Street Den; adjacent profile with partial skill overlap. Has lora, rag exposure. Signals: open to work; 30-day notice; high recruiter response rate (76%)."
CAND_0079064,44,0.6387,"5-year Senior Data Scientist at Niramai; adjacent profile with partial skill overlap. Has opensearch, nlp exposure. Signals: open to work; long notice (120d); high recruiter response rate (91%)."
CAND_0066376,45,0.6385,"6-year Applied ML Engineer at Dream11; adjacent profile with partial skill overlap. Has recommendation, lora exposure. Signals: open to work."
CAND_0015578,46,0.6332,"5-year AI Engineer at Zoho; adjacent profile with partial skill overlap. Has embeddings, nlp exposure. Signals: open to work."
CAND_0016163,47,0.6300,"7-year Applied ML Engineer at Dream11; adjacent profile with partial skill overlap. Has transformer, weaviate exposure. Signals: open to work; long notice (120d); high recruiter response rate (72%)."
CAND_0030031,48,0.6288,"6-year AI Engineer at Microsoft; adjacent profile with partial skill overlap. Has retrieval, pytorch exposure. Signals: 30-day notice; high recruiter response rate (94%)."
CAND_0028793,49,0.6273,"7-year Search Engineer at Google; adjacent profile with partial skill overlap. Has embeddings, lora exposure. Signals: open to work; long notice (120d)."
CAND_0076251,50,0.6251,"8-year Search Engineer at Haptik; adjacent profile with partial skill overlap. Has llm, transformer exposure. Signals: open to work."
CAND_0041669,51,0.6246,"8-year Recommendation Systems Engineer at CRED; adjacent profile with primarily services/consulting background. Has faiss, milvus exposure. Signals: open to work; high recruiter response rate (77%)."
CAND_0007412,52,0.6240,"7-year Applied ML Engineer at Zoho; adjacent profile with partial skill overlap. Has scikit-learn, pinecone exposure. Signals: open to work; long notice (120d); high recruiter response rate (76%)."
CAND_0041610,53,0.6233,"7-year Recommendation Systems Engineer at Zoho; adjacent profile with partial skill overlap. Has lora, elasticsearch exposure. Signals: open to work; 30-day notice."
CAND_0098846,54,0.6220,"8-year AI Engineer at upGrad; adjacent profile with partial skill overlap. Has transformer, peft exposure. Signals: open to work."
CAND_0039383,55,0.6217,"7-year Applied ML Engineer at Meesho; adjacent profile with partial skill overlap. Has faiss, recommendation exposure. Signals: open to work."
CAND_0072688,56,0.6212,"7-year Data Scientist at Niramai; adjacent profile with limited core retrieval/embedding skills. Has milvus, lora exposure. Signals: open to work; high recruiter response rate (87%)."
CAND_0006557,57,0.6195,"8-year NLP Engineer at Paytm; adjacent profile with partial skill overlap. Has elasticsearch, opensearch exposure. Signals: open to work; long notice (120d)."
CAND_0081852,58,0.6185,"6-year Senior Data Scientist at Mad Street Den; adjacent profile with partial skill overlap. Has semantic search, milvus exposure. Signals: open to work."
CAND_0004402,59,0.6168,"6-year AI Research Engineer at Yellow.ai; adjacent profile with limited core retrieval/embedding skills. Has opensearch, peft exposure. Signals: open to work; high recruiter response rate (83%)."
CAND_0058575,60,0.6130,"6-year AI Engineer at Krutrim; adjacent profile with partial skill overlap. Has recommendation, pinecone exposure. Signals: open to work."
CAND_0010149,61,0.6099,"7-year ML Engineer at Glance; adjacent profile with limited core retrieval/embedding skills. Has milvus, vector search exposure. Signals: open to work; high recruiter response rate (82%)."
CAND_0005260,62,0.6094,"5-year Senior NLP Engineer at Netflix; adjacent profile with partial skill overlap. Has retrieval, semantic search exposure. Signals: high recruiter response rate (86%)."
CAND_0094056,63,0.6091,"6-year NLP Engineer at Rephrase.ai; adjacent profile with partial skill overlap. Has pinecone, milvus exposure. Signals: long notice (120d); high recruiter response rate (82%)."
CAND_0096142,64,0.6064,"5-year Applied ML Engineer at upGrad; adjacent profile with partial skill overlap. Has lora, weaviate exposure. Signals: open to work; long notice (120d); high recruiter response rate (84%)."
CAND_0054123,65,0.6059,"5-year Applied ML Engineer at Meta; adjacent profile with partial skill overlap. Has python, weaviate exposure. Signals: high recruiter response rate (87%)."
CAND_0049538,66,0.6052,"6-year Applied ML Engineer at Saarthi.ai; adjacent profile with partial skill overlap. Has learning to rank, opensearch exposure. Signals: 30-day notice; high recruiter response rate (72%)."
CAND_0083879,67,0.6034,"7-year Machine Learning Engineer at Ola; adjacent profile with limited core retrieval/embedding skills. Has llm, milvus exposure. Signals: open to work; 30-day notice."
CAND_0061265,68,0.6030,"7-year Recommendation Systems Engineer at Zoho; adjacent profile with partial skill overlap. Has qdrant, learning to rank exposure. Signals: open to work; long notice (120d); high recruiter response rate (94%)."
CAND_0020708,69,0.6028,"4-year Search Engineer at PolicyBazaar; adjacent profile with partial skill overlap. Has nlp, scikit-learn exposure. Signals: open to work; 30-day notice; high recruiter response rate (84%)."
CAND_0044222,70,0.6012,"8-year AI Engineer at PolicyBazaar; adjacent profile with partial skill overlap. Has vector search, opensearch exposure. Signals: open to work."
CAND_0083307,71,0.5998,"8-year Search Engineer at CRED; adjacent profile with partial skill overlap. Has scikit-learn, embeddings exposure. Signals: open to work; long notice (120d); high recruiter response rate (70%)."
CAND_0009691,72,0.5997,"6-year Applied ML Engineer at LinkedIn; adjacent profile with partial skill overlap. Has recommendation, llm exposure. Signals: open to work; long notice (120d)."
CAND_0017960,73,0.5993,"8-year Recommendation Systems Engineer at Nykaa; adjacent profile with partial skill overlap. Has lora, transformer exposure. Signals: open to work; high recruiter response rate (72%)."
CAND_0060054,74,0.5993,"6-year AI Engineer at Mad Street Den; adjacent profile with partial skill overlap. Has tensorflow, weaviate exposure. Signals: 15-day notice; high recruiter response rate (86%)."
CAND_0020350,75,0.5986,"6-year AI Engineer at Zoho; adjacent profile with partial skill overlap. Has nlp, lora exposure. Signals: open to work; 30-day notice."
CAND_0074735,76,0.5985,"6-year Applied ML Engineer at Rephrase.ai; adjacent profile with partial skill overlap. Has rag, weaviate exposure. Signals: open to work; high recruiter response rate (77%)."
CAND_0068932,77,0.5978,"5-year ML Engineer at Krutrim; adjacent profile with limited core retrieval/embedding skills. Has milvus, rag exposure. Signals: open to work; 30-day notice; high recruiter response rate (82%)."
CAND_0076831,78,0.5963,"4-year Search Engineer at Krutrim; adjacent profile with partial skill overlap. Has llm, milvus exposure. Signals: open to work."
CAND_0066999,79,0.5962,"6-year Recommendation Systems Engineer at Microsoft; adjacent profile with limited core retrieval/embedding skills. Has opensearch, faiss exposure. Signals: open to work; 15-day notice."
CAND_0047721,80,0.5960,"7-year Senior Data Scientist at Microsoft; adjacent profile with partial skill overlap. Has learning to rank, milvus exposure. Based in Coimbatore, Tamil Nadu; recruiter response rate 49%."
CAND_0043860,81,0.5959,"6-year Junior ML Engineer at Aganitha; adjacent profile with limited core retrieval/embedding skills. Has semantic search, retrieval exposure. Signals: open to work; 30-day notice; high recruiter response rate (81%)."
CAND_0064270,82,0.5959,"4-year Applied ML Engineer at Verloop.io; adjacent profile with partial skill overlap. Has pytorch, learning to rank exposure. Signals: high recruiter response rate (82%)."
CAND_0098217,83,0.5949,"6-year ML Engineer at Glance; adjacent profile with limited core retrieval/embedding skills. Has peft, faiss exposure. Signals: open to work; high recruiter response rate (84%)."
CAND_0057563,84,0.5948,"7-year NLP Engineer at Locobuzz; adjacent profile with partial skill overlap. Has rag, elasticsearch exposure. Signals: high recruiter response rate (83%)."
CAND_0006567,85,0.5946,"8-year Senior AI Engineer at Meta; adjacent profile with limited core retrieval/embedding skills. Has scikit-learn, search exposure. Signals: open to work; high recruiter response rate (79%)."
CAND_0068351,86,0.5942,"6-year Lead AI Engineer at Sarvam AI; adjacent profile with limited core retrieval/embedding skills. Has qdrant, elasticsearch exposure. Signals: 0-day notice; high recruiter response rate (86%)."
CAND_0017918,87,0.5929,"3-year ML Engineer at Aganitha; adjacent profile with limited core retrieval/embedding skills. Has llm, elasticsearch exposure. Signals: open to work."
CAND_0064904,88,0.5929,"5-year AI Engineer at LinkedIn; adjacent profile with partial skill overlap. Has embeddings, transformer exposure. Signals: open to work; high recruiter response rate (78%)."
CAND_0091534,89,0.5928,"17-year AI Engineer at Flipkart; adjacent profile with partial skill overlap. Has transformer, scikit-learn exposure. Signals: 30-day notice; high recruiter response rate (84%)."
CAND_0011327,90,0.5917,"6-year AI Research Engineer at Krutrim; adjacent profile with limited core retrieval/embedding skills. Has transformer, semantic search exposure. Signals: open to work; high recruiter response rate (79%)."
CAND_0089552,91,0.5915,"6-year Machine Learning Engineer at Netflix; adjacent profile with partial skill overlap. Has weaviate, tensorflow exposure. Signals: long notice (120d)."
CAND_0048558,92,0.5903,"7-year Data Scientist at Rephrase.ai; adjacent profile with limited core retrieval/embedding skills. Has retrieval, opensearch exposure. Signals: open to work; 30-day notice; high recruiter response rate (80%)."
CAND_0044883,93,0.5901,"6-year AI Engineer at Mad Street Den; adjacent profile with based outside preferred India locations (Berlin). Has bm25, embeddings exposure. Signals: high recruiter response rate (84%)."
CAND_0087630,94,0.5899,"7-year AI Engineer at Vedantu; adjacent profile with partial skill overlap. Has elasticsearch, nlp exposure. Signals: 30-day notice."
CAND_0051004,95,0.5894,"5-year Senior Data Scientist at CRED; adjacent profile with partial skill overlap. Has embeddings, semantic search exposure. Signals: open to work; 15-day notice."
CAND_0043228,96,0.5892,"7-year Applied ML Engineer at Zoho; adjacent profile with partial skill overlap. Has nlp, transformer exposure. Signals: 30-day notice."
CAND_0037980,97,0.5890,"9-year Senior Applied Scientist at Niramai; adjacent profile with partial skill overlap. Has lora, search exposure. Signals: open to work; 0-day notice."
CAND_0074225,98,0.5887,"4-year Machine Learning Engineer at Unacademy; adjacent profile with partial skill overlap. Has recommendation, semantic search exposure. Signals: open to work; long notice (120d); high recruiter response rate (91%)."
CAND_0096172,99,0.5873,"5-year NLP Engineer at Krutrim; adjacent profile with partial skill overlap. Has opensearch, elasticsearch exposure. Based in Chennai, Tamil Nadu; recruiter response rate 47%."
CAND_0004972,100,0.5871,"6-year ML Engineer at Glance; adjacent profile with limited core retrieval/embedding skills. Has semantic search, rag exposure. Signals: high recruiter response rate (74%)."
